650 without_current 1
1.24094 0.335115 2.02041	1.11458 0.471995 1.85604
1.11458 0.471995 1.85604	0.971186 0.493314 1.65453
0.971186 0.493314 1.65453	0.841877 0.393853 1.46766
0.841877 0.393853 1.46766	0.753283 0.197963 1.34418
0.753283 0.197963 1.34418	0.721222 -0.0463956 1.31769
0.721222 -0.0463956 1.31769	0.747218 -0.279395 1.39821
0.747218 -0.279395 1.39821	0.818625 -0.443988 1.56938
0.818625 -0.443988 1.56938	0.912211 -0.499878 1.79227
0.912211 -0.499878 1.79227	1.00021 -0.43338 2.01475
1.00021 -0.43338 2.01475	1.05723 -0.260776 2.18419
1.05723 -0.260776 2.18419	1.0664 -0.0243243 2.2605
1.0664 -0.0243243 2.2605	1.02308 0.218082 2.22609
1.02308 0.218082 2.22609	0.935559 0.407095 2.0905
0.935559 0.407095 2.0905	0.822476 0.496436 1.88824
0.822476 0.496436 1.88824	0.707849 0.464233 1.67051
0.707849 0.464233 1.67051	0.614988 0.318369 1.49274
0.614988 0.318369 1.49274	0.560843 0.0945573 1.40093
0.560843 0.0945573 1.40093	0.552158 -0.152405 1.42024
0.552158 -0.152405 1.42024	0.584302 -0.362054 1.54859
0.584302 -0.362054 1.54859	0.642944 -0.483059 1.75701
0.642944 -0.483059 1.75701	0.708028 -0.485794 1.99651
0.708028 -0.485794 1.99651	0.758969 -0.36959 2.21006
0.758969 -0.36959 2.21006	0.779704 -0.162898 2.34657
0.779704 -0.162898 2.34657	0.762386 0.0836779 2.37351
0.762386 0.0836779 2.37351	0.708848 0.309766 2.28506
0.708848 0.309766 2.28506	0.629606 0.460013 2.10373
0.629606 0.460013 2.10373	0.540774 0.497633 1.87498
0.540774 0.497633 1.87498	0.45977 0.413414 1.65614
0.45977 0.413414 1.65614	0.400956 0.227978 1.50242
0.400956 0.227978 1.50242	0.372307 -0.0132756 1.45324
0.372307 -0.0132756 1.45324	0.373866 -0.251279 1.5225
0.373866 -0.251279 1.5225	0.398285 -0.42776 1.69495
0.398285 -0.42776 1.69495	0.43317 -0.499511 1.92987
0.43317 -0.499511 1.92987	0.464525 -0.448964 2.17093
0.464525 -0.448964 2.17093	0.48035 -0.288495 2.35999
0.48035 -0.288495 2.35999	0.473475 -0.0573924 2.45139
0.473475 -0.0573924 2.45139	0.442952 0.187762 2.42325
0.442952 0.187762 2.42325	0.393756 0.386945 2.28295
0.393756 0.386945 2.28295	0.335 0.491391 2.06539
0.335 0.491391 2.06539	0.277239 0.475527 1.82455
0.277239 0.475527 1.82455	0.229642 0.343238 1.62023
0.229642 0.343238 1.62023	0.197771 0.126912 1.50342
0.197771 0.126912 1.50342	0.18253 -0.120487 1.5037
0.18253 -0.120487 1.5037	0.180439 -0.338386 1.6219
0.180439 -0.338386 1.6219	0.18507 -0.473436 1.82986
0.18507 -0.473436 1.82986	0.189128 -0.492573 2.07727
0.189128 -0.492573 2.07727	0.186558 -0.391111 2.30396
0.186558 -0.391111 2.30396	0.174075 -0.193891 2.45471
0.174075 -0.193891 2.45471	0.15174 0.0508003 2.4928
0.15174 0.0508003 2.4928	0.122476 0.283054 2.40905
0.122476 0.283054 2.40905	0.0907877 0.446006 2.22415
0.0907877 0.446006 2.22415	0.061106 0.49976 1.98357
0.061106 0.49976 1.98357	0.0363246 0.431156 1.74643
0.0363246 0.431156 1.74643	0.0169618 0.256989 1.57101
0.0169618 0.256989 1.57101	0.00119481 0.0199029 1.5004
0.00119481 0.0199029 1.5004	-0.014284 -0.222056 1.55195
-0.014284 -0.222056 1.55195	-0.0328999 -0.409648 1.713
-0.0328999 -0.409648 1.713	-0.0567874 -0.496944 1.94398
-0.0567874 -0.496944 1.94398	-0.0858266 -0.462571 2.18813
-0.0858266 -0.462571 2.18813	-0.117468 -0.314944 2.38545
-0.117468 -0.314944 2.38545	-0.147437 -0.0902078 2.48743
-0.147437 -0.0902078 2.48743	-0.171131 0.156614 2.46892
-0.171131 0.156614 2.46892	-0.185271 0.365092 2.33428
-0.185271 0.365092 2.33428	-0.189286 0.484182 2.11632
