1000 without_current 1
0.914383 -0.40485 -0.67	0.950233 -0.311541 -0.66
0.950233 -0.311541 -0.66	0.976588 -0.21512 -0.65
0.976588 -0.21512 -0.65	0.993185 -0.116549 -0.64
0.993185 -0.116549 -0.64	0.999859 -0.0168139 -0.63
0.999859 -0.0168139 -0.63	0.996542 0.0830894 -0.62
0.996542 0.0830894 -0.62	0.983268 0.182163 -0.61
0.983268 0.182163 -0.61	0.96017 0.279415 -0.6
0.96017 0.279415 -0.6	0.927478 0.373877 -0.59
0.927478 0.373877 -0.59	0.88552 0.464602 -0.58
0.88552 0.464602 -0.58	0.834713 0.550686 -0.57
0.834713 0.550686 -0.57	0.775566 0.631267 -0.56
0.775566 0.631267 -0.56	0.70867 0.70554 -0.55
0.70867 0.70554 -0.55	0.634693 0.772764 -0.54
0.634693 0.772764 -0.54	0.554374 0.832267 -0.53
0.554374 0.832267 -0.53	0.468517 0.883455 -0.52
0.468517 0.883455 -0.52	0.377978 0.925815 -0.51
0.377978 0.925815 -0.51	0.283662 0.958924 -0.5
0.283662 0.958924 -0.5	0.186512 0.982453 -0.49
0.186512 0.982453 -0.49	0.087499 0.996165 -0.48
0.087499 0.996165 -0.48	-0.0123887 0.999923 -0.47
-0.0123887 0.999923 -0.47	-0.112153 0.993691 -0.46
-0.112153 0.993691 -0.46	-0.210796 0.97753 -0.45
-0.210796 0.97753 -0.45	-0.307333 0.951602 -0.44
-0.307333 0.951602 -0.44	-0.400799 0.916166 -0.43
-0.400799 0.916166 -0.43	-0.490261 0.871576 -0.42
-0.490261 0.871576 -0.42	-0.574824 0.818277 -0.41
-0.574824 0.818277 -0.41	-0.653644 0.756802 -0.4
-0.653644 0.756802 -0.4	-0.725932 0.687766 -0.39
-0.725932 0.687766 -0.39	-0.790968 0.611858 -0.38
-0.790968 0.611858 -0.38	-0.8481 0.529836 -0.37
-0.8481 0.529836 -0.37	-0.896758 0.44252 -0.36
-0.896758 0.44252 -0.36	-0.936457 0.350783 -0.35
-0.936457 0.350783 -0.35	-0.966798 0.255541 -0.34
-0.966798 0.255541 -0.34	-0.98748 0.157746 -0.33
-0.98748 0.157746 -0.33	-0.998295 0.0583741 -0.32
-0.998295 0.0583741 -0.32	-0.999135 -0.0415807 -0.31
-0.999135 -0.0415807 -0.31	-0.989992 -0.14112 -0.3
-0.989992 -0.14112 -0.3	-0.970958 -0.239249 -0.29
-0.970958 -0.239249 -0.29	-0.942222 -0.334988 -0.28
-0.942222 -0.334988 -0.28	-0.904072 -0.42738 -0.27
-0.904072 -0.42738 -0.27	-0.856889 -0.515501 -0.26
-0.856889 -0.515501 -0.26	-0.801144 -0.598472 -0.25
-0.801144 -0.598472 -0.25	-0.737394 -0.675463 -0.24
-0.737394 -0.675463 -0.24	-0.666276 -0.745705 -0.23
-0.666276 -0.745705 -0.23	-0.588501 -0.808496 -0.22
-0.588501 -0.808496 -0.22	-0.504846 -0.863209 -0.21
-0.504846 -0.863209 -0.21	-0.416147 -0.909297 -0.2
-0.416147 -0.909297 -0.2	-0.32329 -0.9463 -0.19
-0.32329 -0.9463 -0.19	-0.227202 -0.973848 -0.18
-0.227202 -0.973848 -0.18	-0.128844 -0.991665 -0.17
-0.128844 -0.991665 -0.17	-0.0291995 -0.999574 -0.16
-0.0291995 -0.999574 -0.16	0.0707372 -0.997495 -0.15
0.0707372 -0.997495 -0.15	0.169967 -0.98545 -0.14
0.169967 -0.98545 -0.14	0.267499 -0.963558 -0.13
0.267499 -0.963558 -0.13	0.362358 -0.932039 -0.12
0.362358 -0.932039 -0.12	0.453596 -0.891207 -0.11
0.453596 -0.891207 -0.11	0.540302 -0.841471 -0.1
0.540302 -0.841471 -0.1	0.62161 -0.783327 -0.09
0.62161 -0.783327 -0.09	0.696707 -0.717356 -0.08
0.696707 -0.717356 -0.08	0.764842 -0.644218 -0.07
0.764842 -0.644218 -0.07	0.825336 -0.564642 -0.06
0.825336 -0.564642 -0.06	0.877583 -0.479426 -0.05
0.877583 -0.479426 -0.05	0.921061 -0.389418 -0.04
0.921061 -0.389418 -0.04	0.955336 -0.29552 -0.03
0.955336 -0.29552 -0.03	0.980067 -0.198669 -0.02
0.980067 -0.198669 -0.02	0.995004 -0.0998334 -0.01
0.995004 -0.0998334 -0.01	1 0 0
1 0 0	0.995004 0.0998334 0.01
0.995004 0.0998334 0.01	0.980067 0.198669 0.02
0.980067 0.198669 0.02	0.955336 0.29552 0.03
0.955336 0.29552 0.03	0.921061 0.389418 0.04
0.921061 0.389418 0.04	0.877583 0.479426 0.05
0.877583 0.479426 0.05	0.825336 0.564642 0.06
0.825336 0.564642 0.06	0.764842 0.644218 0.07
0.764842 0.644218 0.07	0.696707 0.717356 0.08
0.696707 0.717356 0.08	0.62161 0.783327 0.09
0.62161 0.783327 0.09	0.540302 0.841471 0.1
0.540302 0.841471 0.1	0.453596 0.891207 0.11
0.453596 0.891207 0.11	0.362358 0.932039 0.12
0.362358 0.932039 0.12	0.267499 0.963558 0.13
0.267499 0.963558 0.13	0.169967 0.98545 0.14
0.169967 0.98545 0.14	0.0707372 0.997495 0.15
0.0707372 0.997495 0.15	-0.0291995 0.999574 0.16
-0.0291995 0.999574 0.16	-0.128844 0.991665 0.17
-0.128844 0.991665 0.17	-0.227202 0.973848 0.18
-0.227202 0.973848 0.18	-0.32329 0.9463 0.19
-0.32329 0.9463 0.19	-0.416147 0.909297 0.2
-0.416147 0.909297 0.2	-0.504846 0.863209 0.21
-0.504846 0.863209 0.21	-0.588501 0.808496 0.22
-0.588501 0.808496 0.22	-0.666276 0.745705 0.23
-0.666276 0.745705 0.23	-0.737394 0.675463 0.24
-0.737394 0.675463 0.24	-0.801144 0.598472 0.25
-0.801144 0.598472 0.25	-0.856889 0.515501 0.26
-0.856889 0.515501 0.26	-0.904072 0.42738 0.27
-0.904072 0.42738 0.27	-0.942222 0.334988 0.28
-0.942222 0.334988 0.28	-0.970958 0.239249 0.29
-0.970958 0.239249 0.29	-0.989992 0.14112 0.3
-0.989992 0.14112 0.3	-0.999135 0.0415807 0.31
-0.999135 0.0415807 0.31	-0.998295 -0.0583741 0.32
-0.998295 -0.0583741 0.32	-0.98748 -0.157746 0.33
-0.98748 -0.157746 0.33	-0.966798 -0.255541 0.34
-0.966798 -0.255541 0.34	-0.936457 -0.350783 0.35
-0.936457 -0.350783 0.35	-0.896758 -0.44252 0.36
-0.896758 -0.44252 0.36	-0.8481 -0.529836 0.37
-0.8481 -0.529836 0.37	-0.790968 -0.611858 0.38
-0.790968 -0.611858 0.38	-0.725932 -0.687766 0.39
-0.725932 -0.687766 0.39	-0.653644 -0.756802 0.4
-0.653644 -0.756802 0.4	-0.574824 -0.818277 0.41
-0.574824 -0.818277 0.41	-0.490261 -0.871576 0.42
-0.490261 -0.871576 0.42	-0.400799 -0.916166 0.43
-0.400799 -0.916166 0.43	-0.307333 -0.951602 0.44
-0.307333 -0.951602 0.44	-0.210796 -0.97753 0.45
-0.210796 -0.97753 0.45	-0.112153 -0.993691 0.46
-0.112153 -0.993691 0.46	-0.0123887 -0.999923 0.47
-0.0123887 -0.999923 0.47	0.087499 -0.996165 0.48
0.087499 -0.996165 0.48	0.186512 -0.982453 0.49
0.186512 -0.982453 0.49	0.283662 -0.958924 0.5
0.283662 -0.958924 0.5	0.377978 -0.925815 0.51
0.377978 -0.925815 0.51	0.468517 -0.883455 0.52
0.468517 -0.883455 0.52	0.554374 -0.832267 0.53
0.554374 -0.832267 0.53	0.634693 -0.772764 0.54
0.634693 -0.772764 0.54	0.70867 -0.70554 0.55
0.70867 -0.70554 0.55	0.775566 -0.631267 0.56
0.775566 -0.631267 0.56	0.834713 -0.550686 0.57
0.834713 -0.550686 0.57	0.88552 -0.464602 0.58
0.88552 -0.464602 0.58	0.927478 -0.373877 0.59
0.927478 -0.373877 0.59	0.96017 -0.279415 0.6
0.96017 -0.279415 0.6	0.983268 -0.182163 0.61
0.983268 -0.182163 0.61	0.996542 -0.0830894 0.62
0.996542 -0.0830894 0.62	0.999859 0.0168139 0.63
0.999859 0.0168139 0.63	0.993185 0.116549 0.64
0.993185 0.116549 0.64	0.976588 0.21512 0.65
0.976588 0.21512 0.65	0.950233 0.311541 0.66
0.950233 0.311541 0.66	0.914383 0.40485 0.67
0.914383 0.40485 0.67	0.869397 0.494113 0.68
0.869397 0.494113 0.68	0.815725 0.57844 0.69
0.815725 0.57844 0.69	0.753902 0.656987 0.7
0.753902 0.656987 0.7	0.684547 0.728969 0.71
0.684547 0.728969 0.71	0.608351 0.793668 0.72
0.608351 0.793668 0.72	0.526078 0.850437 0.73
0.526078 0.850437 0.73	0.438547 0.898708 0.74
0.438547 0.898708 0.74	0.346635 0.938 0.75
0.346635 0.938 0.75	0.25126 0.96792 0.76
0.25126 0.96792 0.76	0.153374 0.988168 0.77
0.153374 0.988168 0.77	0.0539554 0.998543 0.78
0.0539554 0.998543 0.78	-0.0460021 0.998941 0.79
-0.0460021 0.998941 0.79	-0.1455 0.989358 0.8
-0.1455 0.989358 0.8	-0.243544 0.96989 0.81
-0.243544 0.96989 0.81	-0.339155 0.940731 0.82
-0.339155 0.940731 0.82	-0.431377 0.902172 0.83
-0.431377 0.902172 0.83	-0.519289 0.854599 0.84
-0.519289 0.854599 0.84	-0.602012 0.798487 0.85
-0.602012 0.798487 0.85	-0.67872 0.734397 0.86
-0.67872 0.734397 0.86	-0.748647 0.662969 0.87
-0.748647 0.662969 0.87	-0.811093 0.584917 0.88
-0.811093 0.584917 0.88	-0.865435 0.501021 0.89
-0.865435 0.501021 0.89	-0.91113 0.412118 0.9
-0.91113 0.412118 0.9	-0.947722 0.319098 0.91
-0.947722 0.319098 0.91	-0.974844 0.22289 0.92
-0.974844 0.22289 0.92	-0.992225 0.124454 0.93
-0.992225 0.124454 0.93	-0.999693 0.0247754 0.94
-0.999693 0.0247754 0.94	-0.997172 -0.0751511 0.95
-0.997172 -0.0751511 0.95	-0.984688 -0.174327 0.96
-0.984688 -0.174327 0.96	-0.962365 -0.271761 0.97
-0.962365 -0.271761 0.97	-0.930426 -0.366479 0.98
-0.930426 -0.366479 0.98	-0.889191 -0.457536 0.99
-0.889191 -0.457536 0.99	-0.839072 -0.544021 1
-0.839072 -0.544021 1	-0.780568 -0.625071 1.01
-0.780568 -0.625071 1.01	-0.714266 -0.699875 1.02
-0.714266 -0.699875 1.02	-0.640826 -0.767686 1.03
-0.640826 -0.767686 1.03	-0.560984 -0.827826 1.04
-0.560984 -0.827826 1.04	-0.475537 -0.879696 1.05
-0.475537 -0.879696 1.05	-0.385338 -0.922775 1.06
-0.385338 -0.922775 1.06	-0.291289 -0.956635 1.07
-0.291289 -0.956635 1.07	-0.19433 -0.980936 1.08
-0.19433 -0.980936 1.08	-0.0954289 -0.995436 1.09
-0.0954289 -0.995436 1.09	0.0044257 -0.99999 1.1
0.0044257 -0.99999 1.1	0.104236 -0.994553 1.11
0.104236 -0.994553 1.11	0.203005 -0.979178 1.12
0.203005 -0.979178 1.12	0.299745 -0.954019 1.13
0.299745 -0.954019 1.13	0.393491 -0.919329 1.14
0.393491 -0.919329 1.14	0.483305 -0.875452 1.15
0.483305 -0.875452 1.15	0.56829 -0.822829 1.16
0.56829 -0.822829 1.16	0.647596 -0.761984 1.17
0.647596 -0.761984 1.17	0.720432 -0.693525 1.18
0.720432 -0.693525 1.18	0.78607 -0.618137 1.19
0.78607 -0.618137 1.19	0.843854 -0.536573 1.2
0.843854 -0.536573 1.2	0.893206 -0.449647 1.21
0.893206 -0.449647 1.21	0.933634 -0.358229 1.22
0.933634 -0.358229 1.22	0.964733 -0.263232 1.23
0.964733 -0.263232 1.23	0.986192 -0.165604 1.24
0.986192 -0.165604 1.24	0.997798 -0.0663219 1.25
0.997798 -0.0663219 1.25	0.999435 0.033623 1.26
0.999435 0.033623 1.26	0.991085 0.133232 1.27
0.991085 0.133232 1.27	0.972833 0.23151 1.28
0.972833 0.23151 1.28	0.94486 0.327474 1.29
0.94486 0.327474 1.29	0.907447 0.420167 1.3
0.907447 0.420167 1.3	0.860967 0.508661 1.31
0.860967 0.508661 1.31	0.805884 0.592074 1.32
0.805884 0.592074 1.32	0.742749 0.66957 1.33
0.742749 0.66957 1.33	0.672193 0.740376 1.34
0.672193 0.740376 1.34	0.594921 0.803784 1.35
0.594921 0.803784 1.35	0.511704 0.859162 1.36
0.511704 0.859162 1.36	0.423375 0.905955 1.37
0.423375 0.905955 1.37	0.330815 0.943696 1.38
0.330815 0.943696 1.38	0.23495 0.972008 1.39
0.23495 0.972008 1.39	0.136737 0.990607 1.4
0.136737 0.990607 1.4	0.0371584 0.999309 1.41
0.0371584 0.999309 1.41	-0.0627917 0.998027 1.42
-0.0627917 0.998027 1.42	-0.162114 0.986772 1.43
-0.162114 0.986772 1.43	-0.259817 0.965658 1.44
-0.259817 0.965658 1.44	-0.354924 0.934895 1.45
-0.354924 0.934895 1.45	-0.446485 0.894791 1.46
-0.446485 0.894791 1.46	-0.533584 0.845747 1.47
-0.533584 0.845747 1.47	-0.615352 0.788252 1.48
-0.615352 0.788252 1.48	-0.690972 0.722881 1.49
-0.690972 0.722881 1.49	-0.759688 0.650288 1.5
-0.759688 0.650288 1.5	-0.820813 0.571197 1.51
-0.820813 0.571197 1.51	-0.873737 0.486399 1.52
-0.873737 0.486399 1.52	-0.917931 0.396741 1.53
-0.917931 0.396741 1.53	-0.952953 0.303118 1.54
-0.952953 0.303118 1.54	-0.978453 0.206467 1.55
-0.978453 0.206467 1.55	-0.994178 0.107754 1.56
-0.994178 0.107754 1.56	-0.999968 0.00796318 1.57
-0.999968 0.00796318 1.57	-0.995768 -0.0919069 1.58
-0.995768 -0.0919069 1.58	-0.981618 -0.190859 1.59
-0.981618 -0.190859 1.59	-0.957659 -0.287903 1.6
-0.957659 -0.287903 1.6	-0.924133 -0.382071 1.61
-0.924133 -0.382071 1.61	-0.881372 -0.472422 1.62
-0.881372 -0.472422 1.62	-0.829806 -0.558052 1.63
-0.829806 -0.558052 1.63	-0.769948 -0.638107 1.64
-0.769948 -0.638107 1.64	-0.702397 -0.711785 1.65
-0.702397 -0.711785 1.65	-0.627828 -0.778352 1.66
-0.627828 -0.778352 1.66	-0.546986 -0.837142 1.67
-0.546986 -0.837142 1.67	-0.460679 -0.887567 1.68
-0.460679 -0.887567 1.68	-0.369768 -0.929124 1.69
-0.369768 -0.929124 1.69	-0.275163 -0.961397 1.7
-0.275163 -0.961397 1.7	-0.177809 -0.984065 1.71
-0.177809 -0.984065 1.71	-0.0786782 -0.9969 1.72
-0.0786782 -0.9969 1.72	0.0212388 -0.999774 1.73
0.0212388 -0.999774 1.73	0.120944 -0.992659 1.74
0.120944 -0.992659 1.74	0.21944 -0.975626 1.75
0.21944 -0.975626 1.75	0.315744 -0.948844 1.76
0.315744 -0.948844 1.76	0.408893 -0.912582 1.77
0.408893 -0.912582 1.77	0.497956 -0.867202 1.78
0.497956 -0.867202 1.78	0.582044 -0.813157 1.79
0.582044 -0.813157 1.79	0.660317 -0.750987 1.8
0.660317 -0.750987 1.8	0.731991 -0.681314 1.81
0.731991 -0.681314 1.81	0.796352 -0.604833 1.82
0.796352 -0.604833 1.82	0.852757 -0.522309 1.83
0.852757 -0.522309 1.83	0.90064 -0.434566 1.84
0.90064 -0.434566 1.84	0.939525 -0.342481 1.85
0.939525 -0.342481 1.85	0.969022 -0.246974 1.86
0.969022 -0.246974 1.86	0.988837 -0.148999 1.87
0.988837 -0.148999 1.87	0.998772 -0.0495356 1.88
0.998772 -0.0495356 1.88	0.998728 0.0504227 1.89
0.998728 0.0504227 1.89	0.988705 0.149877 1.9
0.988705 0.149877 1.9	0.968802 0.247834 1.91
0.968802 0.247834 1.91	0.93922 0.343315 1.92
0.93922 0.343315 1.92	0.900254 0.435365 1.93
0.900254 0.435365 1.93	0.852292 0.523066 1.94
0.852292 0.523066 1.94	0.795815 0.60554 1.95
0.795815 0.60554 1.95	0.731386 0.681964 1.96
0.731386 0.681964 1.96	0.659649 0.751573 1.97
0.659649 0.751573 1.97	0.581322 0.813674 1.98
0.581322 0.813674 1.98	0.497186 0.867644 1.99
0.497186 0.867644 1.99	0.408082 0.912945 2
0.408082 0.912945 2	0.314901 0.949125 2.01
0.314901 0.949125 2.01	0.218573 0.975821 2.02
0.218573 0.975821 2.02	0.120062 0.992766 2.03
0.120062 0.992766 2.03	0.0203508 0.999793 2.04
0.0203508 0.999793 2.04	-0.0795636 0.99683 2.05
-0.0795636 0.99683 2.05	-0.178683 0.983907 2.06
-0.178683 0.983907 2.06	-0.276017 0.961153 2.07
-0.276017 0.961153 2.07	-0.370593 0.928795 2.08
-0.370593 0.928795 2.08	-0.461467 0.887158 2.09
-0.461467 0.887158 2.09	-0.547729 0.836656 2.1
-0.547729 0.836656 2.1	-0.628519 0.777794 2.11
-0.628519 0.777794 2.11	-0.703029 0.711161 2.12
-0.703029 0.711161 2.12	-0.770514 0.637423 2.13
-0.770514 0.637423 2.13	-0.830301 0.557315 2.14
-0.830301 0.557315 2.14	-0.881792 0.471639 2.15
-0.881792 0.471639 2.15	-0.924472 0.38125 2.16
-0.924472 0.38125 2.16	-0.957915 0.287053 2.17
-0.957915 0.287053 2.17	-0.981787 0.189987 2.18
-0.981787 0.189987 2.18	-0.995849 0.0910224 2.19
-0.995849 0.0910224 2.19	-0.999961 -0.00885131 2.2
-0.999961 -0.00885131 2.2	-0.994082 -0.108637 2.21
-0.994082 -0.108637 2.21	-0.97827 -0.207336 2.22
-0.97827 -0.207336 2.22	-0.952683 -0.303965 2.23
-0.952683 -0.303965 2.23	-0.917578 -0.397556 2.24
-0.917578 -0.397556 2.24	-0.873305 -0.487175 2.25
-0.873305 -0.487175 2.25	-0.820305 -0.571926 2.26
-0.820305 -0.571926 2.26	-0.75911 -0.650962 2.27
-0.75911 -0.650962 2.27	-0.69033 -0.723495 2.28
-0.69033 -0.723495 2.28	-0.614652 -0.788798 2.29
-0.614652 -0.788798 2.29	-0.532833 -0.84622 2.3
-0.532833 -0.84622 2.3	-0.44569 -0.895187 2.31
-0.44569 -0.895187 2.31	-0.354094 -0.93521 2.32
-0.354094 -0.93521 2.32	-0.25896 -0.965888 2.33
-0.25896 -0.965888 2.33	-0.161238 -0.986916 2.34
-0.161238 -0.986916 2.34	-0.0619053 -0.998082 2.35
-0.0619053 -0.998082 2.35	0.0380459 -0.999276 2.36
0.0380459 -0.999276 2.36	0.137617 -0.990486 2.37
0.137617 -0.990486 2.37	0.235813 -0.971798 2.38
0.235813 -0.971798 2.38	0.331653 -0.943401 2.39
0.331653 -0.943401 2.39	0.424179 -0.905578 2.4
0.424179 -0.905578 2.4	0.512467 -0.858707 2.41
0.512467 -0.858707 2.41	0.595634 -0.803256 2.42
0.595634 -0.803256 2.42	0.67285 -0.739779 2.43
0.67285 -0.739779 2.43	0.743344 -0.66891 2.44
0.743344 -0.66891 2.44	0.806409 -0.591358 2.45
0.806409 -0.591358 2.45	0.861418 -0.507897 2.46
0.861418 -0.507897 2.46	0.90782 -0.419361 2.47
0.90782 -0.419361 2.47	0.945151 -0.326635 2.48
0.945151 -0.326635 2.48	0.973038 -0.230646 2.49
0.973038 -0.230646 2.49	0.991203 -0.132352 2.5
0.991203 -0.132352 2.5	0.999464 -0.0327354 2.51
0.999464 -0.0327354 2.51	0.997739 0.0672081 2.52
0.997739 0.0672081 2.52	0.986045 0.16648 2.53
0.986045 0.16648 2.53	0.964498 0.264089 2.54
0.964498 0.264089 2.54	0.933315 0.359058 2.55
0.933315 0.359058 2.55	0.892806 0.450441 2.56
0.892806 0.450441 2.56	0.843377 0.537322 2.57
0.843377 0.537322 2.57	0.785521 0.618835 2.58
0.785521 0.618835 2.58	0.719816 0.694165 2.59
0.719816 0.694165 2.59	0.646919 0.762558 2.6
0.646919 0.762558 2.6	0.567559 0.823333 2.61
0.567559 0.823333 2.61	0.482527 0.875881 2.62
0.482527 0.875881 2.62	0.392674 0.919678 2.63
0.392674 0.919678 2.63	0.298898 0.954285 2.64
0.298898 0.954285 2.64	0.202135 0.979358 2.65
0.202135 0.979358 2.65	0.103353 0.994645 2.66
0.103353 0.994645 2.66	0.00353755 0.999994 2.67
0.00353755 0.999994 2.67	-0.0963129 0.995351 2.68
-0.0963129 0.995351 2.68	-0.195201 0.980763 2.69
-0.195201 0.980763 2.69	-0.292139 0.956376 2.7
-0.292139 0.956376 2.7	-0.386158 0.922433 2.71
-0.386158 0.922433 2.71	-0.476318 0.879273 2.72
-0.476318 0.879273 2.72	-0.561719 0.827328 2.73
-0.561719 0.827328 2.73	-0.641508 0.767116 2.74
-0.641508 0.767116 2.74	-0.714887 0.69924 2.75
-0.714887 0.69924 2.75	-0.781123 0.624377 2.76
-0.781123 0.624377 2.76	-0.839554 0.543276 2.77
-0.839554 0.543276 2.77	-0.889597 0.456746 2.78
-0.889597 0.456746 2.78	-0.930751 0.365653 2.79
-0.930751 0.365653 2.79	-0.962606 0.270906 2.8
-0.962606 0.270906 2.8	-0.984842 0.173452 2.81
-0.984842 0.173452 2.81	-0.997239 0.0742654 2.82
-0.997239 0.0742654 2.82	-0.999671 -0.0256633 2.83
-0.999671 -0.0256633 2.83	-0.992114 -0.125336 2.84
-0.992114 -0.125336 2.84	-0.974645 -0.223756 2.85
-0.974645 -0.223756 2.85	-0.947438 -0.31994 2.86
-0.947438 -0.31994 2.86	-0.910764 -0.412928 2.87
-0.910764 -0.412928 2.87	-0.86499 -0.501789 2.88
-0.86499 -0.501789 2.88	-0.810573 -0.585637 2.89
-0.810573 -0.585637 2.89	-0.748058 -0.663634 2.9
-0.748058 -0.663634 2.9	-0.678068 -0.735 2.91
-0.678068 -0.735 2.91	-0.601302 -0.799021 2.92
-0.601302 -0.799021 2.92	-0.518529 -0.85506 2.93
-0.518529 -0.85506 2.93	-0.430575 -0.902555 2.94
-0.430575 -0.902555 2.94	-0.338319 -0.941031 2.95
-0.338319 -0.941031 2.95	-0.242683 -0.970106 2.96
-0.242683 -0.970106 2.96	-0.144621 -0.989487 2.97
-0.144621 -0.989487 2.97	-0.0451149 -0.998982 2.98
-0.0451149 -0.998982 2.98	0.0548423 -0.998495 2.99
0.0548423 -0.998495 2.99	0.154251 -0.988032 3
0.154251 -0.988032 3	0.252119 -0.967696 3.01
0.252119 -0.967696 3.01	0.347468 -0.937692 3.02
0.347468 -0.937692 3.02	0.439345 -0.898318 3.03
0.439345 -0.898318 3.03	0.526833 -0.849969 3.04
0.526833 -0.849969 3.04	0.609056 -0.793127 3.05
0.609056 -0.793127 3.05	0.685194 -0.728361 3.06
0.685194 -0.728361 3.06	0.754485 -0.656317 3.07
0.754485 -0.656317 3.07	0.816239 -0.577715 3.08
0.816239 -0.577715 3.08	0.869836 -0.493341 3.09
0.869836 -0.493341 3.09	0.914742 -0.404038 3.1
0.914742 -0.404038 3.1	0.950509 -0.310697 3.11
0.950509 -0.310697 3.11	0.976778 -0.214253 3.12
0.976778 -0.214253 3.12	0.993288 -0.115667 3.13
0.993288 -0.115667 3.13	0.999873 -0.0159259 3.14
0.999873 -0.0159259 3.14	0.996468 0.0839745 3.15
0.996468 0.0839745 3.15	0.983106 0.183036 3.16
0.983106 0.183036 3.16	0.959922 0.280268 3.17
0.959922 0.280268 3.17	0.927146 0.3747 3.18
0.927146 0.3747 3.18	0.885107 0.465388 3.19
0.885107 0.465388 3.19	0.834223 0.551427 3.2
0.834223 0.551427 3.2	0.775005 0.631955 3.21
0.775005 0.631955 3.21	0.708043 0.706169 3.22
0.708043 0.706169 3.22	0.634006 0.773328 3.23
0.634006 0.773328 3.23	0.553635 0.832759 3.24
0.553635 0.832759 3.24	0.467732 0.88387 3.25
0.467732 0.88387 3.25	0.377155 0.92615 3.26
0.377155 0.92615 3.26	0.28281 0.959176 3.27
0.28281 0.959176 3.27	0.18564 0.982618 3.28
0.18564 0.982618 3.28	0.0866142 0.996242 3.29
0.0866142 0.996242 3.29	-0.0132767 0.999912 3.3
-0.0132767 0.999912 3.3	-0.113035 0.993591 3.31
-0.113035 0.993591 3.31	-0.211664 0.977343 3.32
-0.211664 0.977343 3.32	-0.308178 0.951329 3.33
-0.308178 0.951329 3.33	-0.401613 0.91581 3.34
-0.401613 0.91581 3.34	-0.491035 0.87114 3.35
-0.491035 0.87114 3.35	-0.57555 0.817766 3.36
-0.57555 0.817766 3.36	-0.654316 0.756222 3.37
-0.654316 0.756222 3.37	-0.726543 0.687121 3.38
-0.726543 0.687121 3.38	-0.791511 0.611155 3.39
-0.791511 0.611155 3.39	-0.84857 0.529083 3.4
-0.84857 0.529083 3.4	-0.897151 0.441724 3.41
-0.897151 0.441724 3.41	-0.936768 0.349951 3.42
-0.936768 0.349951 3.42	-0.967025 0.254682 3.43
-0.967025 0.254682 3.43	-0.987619 0.156869 3.44
-0.987619 0.156869 3.44	-0.998346 0.0574875 3.45
-0.998346 0.0574875 3.45	-0.999098 -0.042468 3.46
-0.999098 -0.042468 3.46	-0.989867 -0.141999 3.47
-0.989867 -0.141999 3.47	-0.970745 -0.240112 3.48
-0.970745 -0.240112 3.48	-0.941924 -0.335825 3.49
-0.941924 -0.335825 3.49	-0.903692 -0.428183 3.5
-0.903692 -0.428183 3.5	-0.856431 -0.516262 3.51
-0.856431 -0.516262 3.51	-0.800612 -0.599183 3.52
-0.800612 -0.599183 3.52	-0.736794 -0.676118 3.53
-0.736794 -0.676118 3.53	-0.665613 -0.746297 3.54
-0.665613 -0.746297 3.54	-0.587783 -0.809019 3.55
-0.587783 -0.809019 3.55	-0.504079 -0.863657 3.56
-0.504079 -0.863657 3.56	-0.415339 -0.909667 3.57
-0.415339 -0.909667 3.57	-0.322449 -0.946587 3.58
-0.322449 -0.946587 3.58	-0.226337 -0.974049 3.59
-0.226337 -0.974049 3.59	-0.127964 -0.991779 3.6
-0.127964 -0.991779 3.6	-0.0283117 -0.999599 3.61
-0.0283117 -0.999599 3.61	0.0716231 -0.997432 3.62
0.0716231 -0.997432 3.62	0.170842 -0.985298 3.63
0.170842 -0.985298 3.63	0.268355 -0.96332 3.64
0.268355 -0.96332 3.64	0.363185 -0.931717 3.65
0.363185 -0.931717 3.65	0.454387 -0.890804 3.66
0.454387 -0.890804 3.66	0.541049 -0.840991 3.67
0.541049 -0.840991 3.67	0.622305 -0.782775 3.68
0.622305 -0.782775 3.68	0.697344 -0.716737 3.69
0.697344 -0.716737 3.69	0.765414 -0.643538 3.7
0.765414 -0.643538 3.7	0.825837 -0.563909 3.71
0.825837 -0.563909 3.71	0.878008 -0.478646 3.72
0.878008 -0.478646 3.72	0.921406 -0.3886 3.73
0.921406 -0.3886 3.73	0.955599 -0.294672 3.74
0.955599 -0.294672 3.74	0.980243 -0.197799 3.75
0.980243 -0.197799 3.75	0.995092 -0.0989497 3.76
0.995092 -0.0989497 3.76	1 0.000888157 3.77
1 0.000888157 3.77	0.994915 0.100717 3.78
0.994915 0.100717 3.78	0.97989 0.19954 3.79
0.97989 0.19954 3.79	0.955074 0.296369 3.8
0.955074 0.296369 3.8	0.920715 0.390236 3.81
0.920715 0.390236 3.81	0.877156 0.480205 3.82
0.877156 0.480205 3.82	0.824834 0.565375 3.83
0.824834 0.565375 3.83	0.76427 0.644897 3.84
0.76427 0.644897 3.84	0.696069 0.717975 3.85
0.696069 0.717975 3.85	0.620914 0.783879 3.86
0.620914 0.783879 3.86	0.539555 0.841951 3.87
0.539555 0.841951 3.87	0.452804 0.89161 3.88
0.452804 0.89161 3.88	0.36153 0.932361 3.89
0.36153 0.932361 3.89	0.266643 0.963795 3.9
0.266643 0.963795 3.9	0.169092 0.9856 3.91
0.169092 0.9856 3.91	0.0698512 0.997557 3.92
0.0698512 0.997557 3.92	-0.0300873 0.999547 3.93
