1000 without_current 1
-0.737993 -0.674808 -4.01	-0.666938 -0.745113 -4
-0.666938 -0.745113 -4	-0.589219 -0.807973 -3.99
-0.589219 -0.807973 -3.99	-0.505613 -0.862761 -3.98
-0.505613 -0.862761 -3.98	-0.416954 -0.908927 -3.97
-0.416954 -0.908927 -3.97	-0.32413 -0.946013 -3.96
-0.32413 -0.946013 -3.96	-0.228067 -0.973645 -3.95
-0.228067 -0.973645 -3.95	-0.129725 -0.99155 -3.94
-0.129725 -0.99155 -3.94	-0.0300873 -0.999547 -3.93
-0.0300873 -0.999547 -3.93	0.0698512 -0.997557 -3.92
0.0698512 -0.997557 -3.92	0.169092 -0.9856 -3.91
0.169092 -0.9856 -3.91	0.266643 -0.963795 -3.9
0.266643 -0.963795 -3.9	0.36153 -0.932361 -3.89
0.36153 -0.932361 -3.89	0.452804 -0.89161 -3.88
0.452804 -0.89161 -3.88	0.539555 -0.841951 -3.87
0.539555 -0.841951 -3.87	0.620914 -0.783879 -3.86
0.620914 -0.783879 -3.86	0.696069 -0.717975 -3.85
0.696069 -0.717975 -3.85	0.76427 -0.644897 -3.84
0.76427 -0.644897 -3.84	0.824834 -0.565375 -3.83
0.824834 -0.565375 -3.83	0.877156 -0.480205 -3.82
0.877156 -0.480205 -3.82	0.920715 -0.390236 -3.81
0.920715 -0.390236 -3.81	0.955074 -0.296369 -3.8
0.955074 -0.296369 -3.8	0.97989 -0.19954 -3.79
0.97989 -0.19954 -3.79	0.994915 -0.100717 -3.78
0.994915 -0.100717 -3.78	1 -0.000888157 -3.77
1 -0.000888157 -3.77	0.995092 0.0989497 -3.76
0.995092 0.0989497 -3.76	0.980243 0.197799 -3.75
0.980243 0.197799 -3.75	0.955599 0.294672 -3.74
0.955599 0.294672 -3.74	0.921406 0.3886 -3.73
0.921406 0.3886 -3.73	0.878008 0.478646 -3.72
0.878008 0.478646 -3.72	0.825837 0.563909 -3.71
0.825837 0.563909 -3.71	0.765414 0.643538 -3.7
0.765414 0.643538 -3.7	0.697344 0.716737 -3.69
0.697344 0.716737 -3.69	0.622305 0.782775 -3.68
0.622305 0.782775 -3.68	0.541049 0.840991 -3.67
0.541049 0.840991 -3.67	0.454387 0.890804 -3.66
0.454387 0.890804 -3.66	0.363185 0.931717 -3.65
0.363185 0.931717 -3.65	0.268355 0.96332 -3.64
0.268355 0.96332 -3.64	0.170842 0.985298 -3.63
0.170842 0.985298 -3.63	0.0716231 0.997432 -3.62
0.0716231 0.997432 -3.62	-0.0283117 0.999599 -3.61
-0.0283117 0.999599 -3.61	-0.127964 0.991779 -3.6
-0.127964 0.991779 -3.6	-0.226337 0.974049 -3.59
-0.226337 0.974049 -3.59	-0.322449 0.946587 -3.58
-0.322449 0.946587 -3.58	-0.415339 0.909667 -3.57
-0.415339 0.909667 -3.57	-0.504079 0.863657 -3.56
-0.504079 0.863657 -3.56	-0.587783 0.809019 -3.55
-0.587783 0.809019 -3.55	-0.665613 0.746297 -3.54
-0.665613 0.746297 -3.54	-0.736794 0.676118 -3.53
-0.736794 0.676118 -3.53	-0.800612 0.599183 -3.52
-0.800612 0.599183 -3.52	-0.856431 0.516262 -3.51
-0.856431 0.516262 -3.51	-0.903692 0.428183 -3.5
-0.903692 0.428183 -3.5	-0.941924 0.335825 -3.49
-0.941924 0.335825 -3.49	-0.970745 0.240112 -3.48
-0.970745 0.240112 -3.48	-0.989867 0.141999 -3.47
-0.989867 0.141999 -3.47	-0.999098 0.042468 -3.46
-0.999098 0.042468 -3.46	-0.998346 -0.0574875 -3.45
-0.998346 -0.0574875 -3.45	-0.987619 -0.156869 -3.44
-0.987619 -0.156869 -3.44	-0.967025 -0.254682 -3.43
-0.967025 -0.254682 -3.43	-0.936768 -0.349951 -3.42
-0.936768 -0.349951 -3.42	-0.897151 -0.441724 -3.41
-0.897151 -0.441724 -3.41	-0.84857 -0.529083 -3.4
-0.84857 -0.529083 -3.4	-0.791511 -0.611155 -3.39
-0.791511 -0.611155 -3.39	-0.726543 -0.687121 -3.38
-0.726543 -0.687121 -3.38	-0.654316 -0.756222 -3.37
-0.654316 -0.756222 -3.37	-0.57555 -0.817766 -3.36
-0.57555 -0.817766 -3.36	-0.491035 -0.87114 -3.35
-0.491035 -0.87114 -3.35	-0.401613 -0.91581 -3.34
-0.401613 -0.91581 -3.34	-0.308178 -0.951329 -3.33
-0.308178 -0.951329 -3.33	-0.211664 -0.977343 -3.32
-0.211664 -0.977343 -3.32	-0.113035 -0.993591 -3.31
-0.113035 -0.993591 -3.31	-0.0132767 -0.999912 -3.3
-0.0132767 -0.999912 -3.3	0.0866142 -0.996242 -3.29
0.0866142 -0.996242 -3.29	0.18564 -0.982618 -3.28
0.18564 -0.982618 -3.28	0.28281 -0.959176 -3.27
0.28281 -0.959176 -3.27	0.377155 -0.92615 -3.26
0.377155 -0.92615 -3.26	0.467732 -0.88387 -3.25
0.467732 -0.88387 -3.25	0.553635 -0.832759 -3.24
0.553635 -0.832759 -3.24	0.634006 -0.773328 -3.23
0.634006 -0.773328 -3.23	0.708043 -0.706169 -3.22
0.708043 -0.706169 -3.22	0.775005 -0.631955 -3.21
0.775005 -0.631955 -3.21	0.834223 -0.551427 -3.2
0.834223 -0.551427 -3.2	0.885107 -0.465388 -3.19
0.885107 -0.465388 -3.19	0.927146 -0.3747 -3.18
0.927146 -0.3747 -3.18	0.959922 -0.280268 -3.17
0.959922 -0.280268 -3.17	0.983106 -0.183036 -3.16
0.983106 -0.183036 -3.16	0.996468 -0.0839745 -3.15
0.996468 -0.0839745 -3.15	0.999873 0.0159259 -3.14
0.999873 0.0159259 -3.14	0.993288 0.115667 -3.13
0.993288 0.115667 -3.13	0.976778 0.214253 -3.12
0.976778 0.214253 -3.12	0.950509 0.310697 -3.11
0.950509 0.310697 -3.11	0.914742 0.404038 -3.1
0.914742 0.404038 -3.1	0.869836 0.493341 -3.09
0.869836 0.493341 -3.09	0.816239 0.577715 -3.08
0.816239 0.577715 -3.08	0.754485 0.656317 -3.07
0.754485 0.656317 -3.07	0.685194 0.728361 -3.06
0.685194 0.728361 -3.06	0.609056 0.793127 -3.05
0.609056 0.793127 -3.05	0.526833 0.849969 -3.04
0.526833 0.849969 -3.04	0.439345 0.898318 -3.03
0.439345 0.898318 -3.03	0.347468 0.937692 -3.02
0.347468 0.937692 -3.02	0.252119 0.967696 -3.01
0.252119 0.967696 -3.01	0.154251 0.988032 -3
0.154251 0.988032 -3	0.0548423 0.998495 -2.99
0.0548423 0.998495 -2.99	-0.0451149 0.998982 -2.98
-0.0451149 0.998982 -2.98	-0.144621 0.989487 -2.97
-0.144621 0.989487 -2.97	-0.242683 0.970106 -2.96
